GRIDCODE,ID,furb,frural,fpob, PobUrb, PobR, puT,prT, PobT
0			fraction
   293,07087, 0.0000000, 0.0069318, 0.0069318,     0,   243,  15950,  19106,  35056
   294,07087, 0.0745664, 0.1046896, 0.1792561,  2614,  3670,  19106,  15950,  35056
   295,07087, 0.0537996, 0.0023676, 0.0561673,  1886,    83,  19106,  15950,  35056
   645,07089, 0.0020221, 0.0021938, 0.0042159,   648,   703, 233185,  87266, 320451
   646,07087, 0.0000000, 0.0405637, 0.0405637,     0,  1422,  15950,  19106,  35056
   646,07089, 0.0000000, 0.0038789, 0.0038789,     0,  1243,  87266, 233185, 320451
   647,07087, 0.0000000, 0.1390632, 0.1390632,     0,  4875,  15950,  19106,  35056
   648,07087, 0.3782519, 0.1233170, 0.5015689, 13260,  4323,  19106,  15950,  35056
   997,07054, 0.0000000, 0.0173861, 0.0173861,     0,   462,  15475,  11098,  26573
   997,07089, 0.0027430, 0.0005648, 0.0033078,   879,   181, 233185,  87266, 320451
   998,07054, 0.0000000, 0.0000753, 0.0000753,     0,     2,  15475,  11098,  26573
   998,07089, 0.0250584, 0.0128694, 0.0379278,  8030,  4124, 233185,  87266, 320451
   999,07087, 0.0000000, 0.0002282, 0.0002282,     0,     8,  15950,  19106,  35056
   999,07089, 0.0000000, 0.0092651, 0.0092651,     0,  2969,  87266, 233185, 320451
  1000,07035, 0.0000000, 0.3617845, 0.3617845,     0,  4582,   9146,   3519,  12665
  1000,07087, 0.0000000, 0.0255306, 0.0255306,     0,   895,  15950,  19106,  35056
  1000,07089, 0.0000000, 0.0001030, 0.0001030,     0,    33,  87266, 233185, 320451
  1001,07035, 0.0021319, 0.1945519, 0.1966838,    27,  2464,   3519,   9146,  12665
  1001,07087, 0.0383957, 0.0122946, 0.0506903,  1346,   431,  19106,  15950,  35056
  1349,07054, 0.0000000, 0.0317239, 0.0317239,     0,   843,  15475,  11098,  26573
  1350,07054, 0.2402439, 0.2063373, 0.4465811,  6384,  5483,  11098,  15475,  26573
  1351,07054, 0.0000000, 0.0496368, 0.0496368,     0,  1319,  15475,  11098,  26573
  1351,07089, 0.0000000, 0.0148291, 0.0148291,     0,  4752,  87266, 233185, 320451
  1352,07089, 0.0000218, 0.0369542, 0.0369760,     7, 11842, 233185,  87266, 320451
  1353,07035, 0.0894591, 0.1658113, 0.2552704,  1133,  2100,   3519,   9146,  12665
  1353,07055, 0.5185774, 0.4814226, 1.0000000,  2610,  2423,   2610,   2423,   5033
  1353,07102, 0.0000000, 0.0674934, 0.0674934,     0,  2547,  30711,   7026,  37737
  1701,07040, 0.0000000, 0.0016161, 0.0016161,     0,    83,  19326,  32033,  51359
  1701,07054, 0.0000000, 0.0287510, 0.0287510,     0,   764,  15475,  11098,  26573
  1702,07054, 0.0000000, 0.0758289, 0.0758289,     0,  2015,  15475,  11098,  26573
  1703,07054, 0.1773981, 0.1478192, 0.3252173,  4714,  3928,  11098,  15475,  26573
  1703,07089, 0.0000000, 0.0000250, 0.0000250,     0,     8,  87266, 233185, 320451
  1704,07037, 0.0000000, 0.0004500, 0.0004500,     0,    16,  19375,  16183,  35558
  1704,07054, 0.0000000, 0.0247620, 0.0247620,     0,   658,  15475,  11098,  26573
  1704,07089, 0.0178405, 0.0150226, 0.0328631,  5717,  4814, 233185,  87266, 320451
  1705,07089, 0.5048884, 0.0278326, 0.5327210,161792,  8919, 233185,  87266, 320451
  1706,07089, 0.1464623, 0.0021314, 0.1485937, 46934,   683, 233185,  87266, 320451
  1706,07102, 0.0339985, 0.3960834, 0.4300819,  1283, 14947,   7026,  30711,  37737
  1707,07102, 0.0082412, 0.1116941, 0.1199353,   311,  4215,   7026,  30711,  37737
  2053,07040, 0.0000000, 0.0090150, 0.0090150,     0,   463,  19326,  32033,  51359
  2054,07040, 0.0000000, 0.0001752, 0.0001752,     0,     9,  19326,  32033,  51359
  2055,07037, 0.0000000, 0.0207829, 0.0207829,     0,   739,  19375,  16183,  35558
  2055,07040, 0.0000000, 0.0018108, 0.0018108,     0,    93,  19326,  32033,  51359
  2056,07037, 0.0088306, 0.1688228, 0.1776534,   314,  6003,  16183,  19375,  35558
  2056,07054, 0.0000000, 0.0000376, 0.0000376,     0,     1,  15475,  11098,  26573
  2057,07037, 0.3868328, 0.1475055, 0.5343382, 13755,  5245,  16183,  19375,  35558
  2057,07089, 0.0000000, 0.0010953, 0.0010953,     0,   351,  87266, 233185, 320451
  2058,07037, 0.0000000, 0.0106868, 0.0106868,     0,   380,  19375,  16183,  35558
  2058,07089, 0.0164487, 0.0191948, 0.0356435,  5271,  6151, 233185,  87266, 320451
  2059,07015, 0.2267924, 0.0075324, 0.2343247,  9936,   330,  19127,  24684,  43811
  2059,07089, 0.0121922, 0.0180714, 0.0302636,  3907,  5791, 233185,  87266, 320451
  2059,07102, 0.0303151, 0.1422212, 0.1725362,  1144,  5367,   7026,  30711,  37737
  2060,07015, 0.1514688, 0.0244231, 0.1758919,  6636,  1070,  19127,  24684,  43811
  2060,07102, 0.1136285, 0.0963246, 0.2099531,  4288,  3635,   7026,  30711,  37737
  2404,07003, 0.0000000, 0.0001450, 0.0001450,     0,     4,  18884,   8696,  27580
  2405,07003, 0.0000000, 0.0004714, 0.0004714,     0,    13,  18884,   8696,  27580
  2406,07071, 0.0000000, 0.0021506, 0.0021506,     0,    60,  20698,   7201,  27899
  2407,07040, 0.0000000, 0.0119940, 0.0119940,     0,   616,  19326,  32033,  51359
  2407,07071, 0.0000000, 0.0211836, 0.0211836,     0,   591,  20698,   7201,  27899
  2408,07037, 0.0000000, 0.0001406, 0.0001406,     0,     5,  19375,  16183,  35558
  2408,07040, 0.0000000, 0.1958371, 0.1958371,     0, 10058,  19326,  32033,  51359
  2409,07037, 0.0000000, 0.0177738, 0.0177738,     0,   632,  19375,  16183,  35558
  2409,07040, 0.0000000, 0.0258572, 0.0258572,     0,  1328,  19326,  32033,  51359
  2409,07103, 0.0000000, 0.2055656, 0.2055656,     0,  5784,  22711,   5426,  28137
  2410,07037, 0.0000000, 0.1709320, 0.1709320,     0,  6078,  19375,  16183,  35558
  2410,07089, 0.0000000, 0.0029739, 0.0029739,     0,   953,  87266, 233185, 320451
  2410,07103, 0.0000000, 0.0728578, 0.0728578,     0,  2050,  22711,   5426,  28137
  2411,07037, 0.0000000, 0.0077901, 0.0077901,     0,   277,  19375,  16183,  35558
  2411,07089, 0.0000000, 0.0313121, 0.0313121,     0, 10034,  87266, 233185, 320451
  2412,07015, 0.0583187, 0.2874392, 0.3457579,  2555, 12593,  19127,  24684,  43811
  2412,07089, 0.0000000, 0.0143641, 0.0143641,     0,  4603,  87266, 233185, 320451
  2413,07015, 0.0000000, 0.1826025, 0.1826025,     0,  8000,  24684,  19127,  43811
  2413,07105, 0.4561005, 0.5410604, 0.9971609,  6426,  7623,   6431,   7658,  14089
  2414,07105, 0.0003549, 0.0022003, 0.0025552,     5,    31,   6431,   7658,  14089
  2757,07003, 0.0000000, 0.0479333, 0.0479333,     0,  1322,  18884,   8696,  27580
  2758,07003, 0.0000000, 0.0213198, 0.0213198,     0,   588,  18884,   8696,  27580
  2759,07003, 0.0000000, 0.1183829, 0.1183829,     0,  3265,  18884,   8696,  27580
  2759,07071, 0.0000000, 0.0907918, 0.0907918,     0,  2533,  20698,   7201,  27899
  2760,07071, 0.0002151, 0.2805477, 0.2807627,     6,  7827,   7201,  20698,  27899
  2761,07040, 0.0000000, 0.0289725, 0.0289725,     0,  1488,  19326,  32033,  51359
  2761,07071, 0.0001434, 0.1261694, 0.1263128,     4,  3520,   7201,  20698,  27899
  2762,07040, 0.6237077, 0.0351253, 0.6588330, 32033,  1804,  32033,  19326,  51359
  2762,07103, 0.1928422, 0.3056829, 0.4985251,  5426,  8601,   5426,  22711,  28137
  2763,07089, 0.0000000, 0.0102481, 0.0102481,     0,  3284,  87266, 233185, 320451
  2763,07103, 0.0000000, 0.0990155, 0.0990155,     0,  2786,  22711,   5426,  28137
  2764,07057, 0.0000000, 0.0020689, 0.0020689,     0,   143,  45364,  23755,  69119
  2764,07089, 0.0000000, 0.0148509, 0.0148509,     0,  4759,  87266, 233185, 320451
  2765,07015, 0.0000000, 0.0541645, 0.0541645,     0,  2373,  24684,  19127,  43811
  2765,07089, 0.0000000, 0.0128288, 0.0128288,     0,  4111,  87266, 233185, 320451
  2766,07015, 0.0000000, 0.0028760, 0.0028760,     0,   126,  24684,  19127,  43811
  2766,07105, 0.0000000, 0.0002839, 0.0002839,     0,     4,   7658,   6431,  14089
  3108,07051, 0.0000000, 0.0002277, 0.0002277,     0,    10,  25982,  17931,  43913
  3109,07051, 0.0000000, 0.0087901, 0.0087901,     0,   386,  25982,  17931,  43913
  3110,07003, 0.0000000, 0.0456490, 0.0456490,     0,  1259,  18884,   8696,  27580
  3110,07051, 0.0000000, 0.0161228, 0.0161228,     0,   708,  25982,  17931,  43913
  3111,07003, 0.0000000, 0.1833575, 0.1833575,     0,  5057,  18884,   8696,  27580
  3112,07003, 0.2245830, 0.0948151, 0.3193981,  6194,  2615,   8696,  18884,  27580
  3112,07032, 0.0000000, 0.0046229, 0.0046229,     0,   139,  17779,  12289,  30068
  3113,07003, 0.0000000, 0.0006164, 0.0006164,     0,    17,  18884,   8696,  27580
  3113,07032, 0.0000000, 0.0765598, 0.0765598,     0,  2302,  17779,  12289,  30068
  3113,07071, 0.2073551, 0.0450195, 0.2523746,  5785,  1256,   7201,  20698,  27899
  3114,07040, 0.0000000, 0.0178742, 0.0178742,     0,   918,  19326,  32033,  51359
  3114,07071, 0.0503961, 0.1011147, 0.1515108,  1406,  2821,   7201,  20698,  27899
  3115,07032, 0.0000000, 0.0029600, 0.0029600,     0,    89,  17779,  12289,  30068
  3115,07040, 0.0000000, 0.0295177, 0.0295177,     0,  1516,  19326,  32033,  51359
  3115,07057, 0.0000000, 0.0264037, 0.0264037,     0,  1825,  45364,  23755,  69119
  3115,07103, 0.0000000, 0.0846572, 0.0846572,     0,  2382,  22711,   5426,  28137
  3116,07057, 0.0000000, 0.0879787, 0.0879787,     0,  6081,  45364,  23755,  69119
  3116,07089, 0.0000000, 0.0030332, 0.0030332,     0,   972,  87266, 233185, 320451
  3116,07103, 0.0000000, 0.0393788, 0.0393788,     0,  1108,  22711,   5426,  28137
  3117,07057, 0.0000000, 0.0496101, 0.0496101,     0,  3429,  45364,  23755,  69119
  3117,07089, 0.0000000, 0.0029739, 0.0029739,     0,   953,  87266, 233185, 320451
  3118,07015, 0.0000000, 0.0043825, 0.0043825,     0,   192,  24684,  19127,  43811
  3118,07057, 0.0000000, 0.0337823, 0.0337823,     0,  2335,  45364,  23755,  69119
