GRIDCODE,ID,furb,frural,fpob, PobUrb, PobR, puT,prT, PobT
0			fraction
   293,07087, 0.0000000, 0.0152351, 0.0069318,     0,   243,  19106,  15950,  35056
   294,07087, 0.1368157, 0.2300940, 0.1792561,  2614,  3670,  19106,  15950,  35056
   295,07087, 0.0987124, 0.0052038, 0.0561673,  1886,    83,  19106,  15950,  35056
   645,07089, 0.0027789, 0.0080558, 0.0042159,   648,   703, 233185,  87266, 320451
   646,07087, 0.0000000, 0.1670846, 0.0083164,     0,  2665,  19106,  15950, 320451
   647,07087, 0.0000000, 0.3056426, 0.1390632,     0,  4875,  19106,  15950,  35056
   648,07087, 0.6940228, 0.2710345, 0.5015689, 13260,  4323,  19106,  15950,  35056
   997,07054, 0.0792035, 0.0415509, 0.0047496,   879,   643,  11098,  15475, 320451
   998,07054, 0.7235538, 0.2666236, 0.0379340,  8030,  4126,  11098,  15475, 320451
   999,07087, 0.0000000, 0.1866458, 0.0092900,     0,  2977,  19106,  15950, 320451
  1000,07035, 0.0000000, 0.6024492, 0.0171945,     0,  5510,   3518,   9146, 320451
  1001,07035, 0.3902786, 0.3165318, 0.1217481,  1373,  2895,   3518,   9146,  35056
  1349,07054, 0.0000000, 0.0544750, 0.0317239,     0,   843,  11098,  15475,  26573
  1350,07054, 0.5752388, 0.3543134, 0.4465811,  6384,  5483,  11098,  15475,  26573
  1351,07054, 0.0000000, 0.3923102, 0.0189452,     0,  6071,  11098,  15475, 320451
  1352,07089, 0.0000300, 0.1357000, 0.0369760,     7, 11842, 233185,  87266, 320451
  1353,07035, 1.0639567, 0.7730155, 2.1484203,  3743,  7070,   3518,   9146,   5033
  1701,07040, 0.0000000, 0.0438270, 0.0318745,     0,   847,  32033,  19326,  26573
  1702,07054, 0.0000000, 0.1302100, 0.0758289,     0,  2015,  11098,  15475,  26573
  1703,07054, 0.4247612, 0.2543457, 0.3255184,  4714,  3936,  11098,  15475,  26573
  1704,07037, 0.4063544, 0.2832516, 0.0349663,  5717,  5488,  14069,  19375, 320451
  1705,07089, 0.6938354, 0.1022048, 0.5327210,161792,  8919, 233185,  87266, 320451
  1706,07089, 0.2067757, 0.1791076, 1.6918938, 48217, 15630, 233185,  87266,  37737
  1707,07102, 0.0442642, 0.1372472, 0.1199353,   311,  4215,   7026,  30711,  37737
  2053,07040, 0.0000000, 0.0239574, 0.0090150,     0,   463,  32033,  19326,  51359
  2054,07040, 0.0000000, 0.0004657, 0.0001752,     0,     9,  32033,  19326,  51359
  2055,07037, 0.0000000, 0.0429419, 0.0161997,     0,   832,  14069,  19375,  51359
  2056,07037, 0.0223186, 0.3098839, 0.1776815,   314,  6004,  14069,  19375,  35558
  2057,07037, 0.9776814, 0.2888258, 0.5442095, 13755,  5596,  14069,  19375,  35558
  2058,07037, 0.3746535, 0.3370839, 0.0368293,  5271,  6531,  14069,  19375, 320451
  2059,07015, 0.7835521, 0.4654027, 0.7015661, 14987, 11488,  19127,  24684,  37737
  2060,07015, 0.5711298, 0.1906093, 0.4141559, 10924,  4705,  19127,  24684,  37737
  2404,07003, 0.0000000, 0.0002118, 0.0001450,     0,     4,   8696,  18884,  27580
  2405,07003, 0.0000000, 0.0006884, 0.0004714,     0,    13,   8696,  18884,  27580
  2406,07071, 0.0000000, 0.0028988, 0.0021506,     0,    60,   7201,  20698,  27899
  2407,07040, 0.0000000, 0.0624547, 0.0432632,     0,  1207,  32033,  19326,  27899
  2408,07037, 0.0000000, 0.5193806, 0.1959345,     0, 10063,  14069,  19375,  51359
  2409,07037, 0.0000000, 0.3996903, 0.2752248,     0,  7744,  14069,  19375,  28137
  2410,07037, 0.0000000, 0.4686968, 0.3227423,     0,  9081,  14069,  19375,  28137
  2411,07037, 0.0000000, 0.5321807, 0.0321765,     0, 10311,  14069,  19375, 320451
  2412,07015, 0.1335808, 0.6966456, 0.4508228,  2555, 17196,  19127,  24684,  43811
  2413,07015, 0.3359649, 0.6329201, 1.5649797,  6426, 15623,  19127,  24684,  14089
  2414,07105, 0.0007775, 0.0040481, 0.0025552,     5,    31,   6431,   7658,  14089
  2757,07003, 0.0000000, 0.0700064, 0.0479333,     0,  1322,   8696,  18884,  27580
  2758,07003, 0.0000000, 0.0311375, 0.0213198,     0,   588,   8696,  18884,  27580
  2759,07003, 0.0000000, 0.3070324, 0.2078211,     0,  5798,   8696,  18884,  27899
  2760,07071, 0.0008332, 0.3781525, 0.2807627,     6,  7827,   7201,  20698,  27899
  2761,07040, 0.0001249, 0.2591328, 0.1796480,     4,  5008,  32033,  19326,  27899
  2762,07040, 1.1693878, 0.5383939, 1.7011054, 37459, 10405,  32033,  19326,  28137
  2763,07089, 0.0000000, 0.0695574, 0.2157302,     0,  6070, 233185,  87266,  28137
  2764,07057, 0.0000000, 0.1080593, 0.0152972,     0,  4902,  23755,  45364, 320451
  2765,07015, 0.0000000, 0.2626803, 0.0202340,     0,  6484,  19127,  24684, 320451
  2766,07015, 0.0000000, 0.0052666, 0.0092271,     0,   130,  19127,  24684,  14089
  3108,07051, 0.0000000, 0.0003849, 0.0002277,     0,    10,  17931,  25982,  43913
  3109,07051, 0.0000000, 0.0148564, 0.0087901,     0,   386,  17931,  25982,  43913
  3110,07003, 0.0000000, 0.1041623, 0.0447931,     0,  1967,   8696,  18884,  43913
  3111,07003, 0.0000000, 0.2677929, 0.1833575,     0,  5057,   8696,  18884,  27580
  3112,07003, 0.7122815, 0.1458377, 0.3244380,  6194,  2754,   8696,  18884,  27580
  3113,07003, 0.6652484, 0.1893137, 0.3354959,  5785,  3575,   8696,  18884,  27899
  3114,07040, 0.0438922, 0.1934699, 0.1844152,  1406,  3739,  32033,  19326,  27899
  3115,07032, 0.0000000, 0.3269025, 0.2065608,     0,  5812,  12289,  17779,  28137
