 GRIDCODE,CVIDE,Fu,USs4ginMUNICIPIO (m2)
       29470 ,        1001 ,   0.00000000     ,   76514240.0    
       29471 ,        1001 ,   0.00000000     ,   76514240.0    
       29472 ,        1001 ,   0.00000000     ,   76514240.0    
       29473 ,        1001 ,   0.00000000     ,   76514240.0    
       29822 ,        1001 ,   0.00000000     ,   76514240.0    
       29823 ,        1001 ,   8.26431252E-03 ,   76514240.0    
       29824 ,        1001 ,   7.03112502E-03 ,   76514240.0    
       29825 ,        1001 ,   1.59788821E-02 ,   76514240.0    
       29826 ,        1001 ,   0.00000000     ,   76514240.0    
       29827 ,        1001 ,   0.00000000     ,   76514240.0    
       30175 ,        1001 ,   0.00000000     ,   76514240.0    
       30176 ,        1001 ,   7.14676874E-03 ,   76514240.0    
       30177 ,        1001 ,   0.00000000     ,   76514240.0    
       30178 ,        1001 ,  0.146129996     ,   76514240.0    
       30179 ,        1001 ,   9.94542497E-04 ,   76514240.0    
       30180 ,        1001 ,   0.00000000     ,   76514240.0    
       30181 ,        1001 ,   0.00000000     ,   76514240.0    
       30529 ,        1001 ,   0.00000000     ,   76514240.0    
       30530 ,        1001 ,   0.00000000     ,   76514240.0    
       30531 ,        1001 ,  0.728861690     ,   76514240.0    
       30532 ,        1001 ,   7.02766180E-02 ,   76514240.0    
       30533 ,        1001 ,   0.00000000     ,   76514240.0    
       30883 ,        1001 ,   0.00000000     ,   76514240.0    
       30884 ,        1001 ,   4.38955240E-03 ,   76514240.0    
       30885 ,        1001 ,   4.55832202E-03 ,   76514240.0    
       30886 ,        1001 ,   5.80751942E-03 ,   76514240.0    
       30887 ,        1001 ,   0.00000000     ,   76514240.0    
       31238 ,        1001 ,   0.00000000     ,   76514240.0    
       31239 ,        1001 ,   5.60639892E-04 ,   76514240.0    
       30887 ,        1002 ,   0.00000000     ,   4139517.25    
       30888 ,        1002 ,   0.00000000     ,   4139517.25    
       30889 ,        1002 ,   0.00000000     ,   4139517.25    
       31238 ,        1002 ,   0.00000000     ,   4139517.25    
       31239 ,        1002 ,   0.00000000     ,   4139517.25    
       31240 ,        1002 ,  0.326229900     ,   4139517.25    
       31241 ,        1002 ,  0.325000525     ,   4139517.25    
       31242 ,        1002 ,   0.00000000     ,   4139517.25    
       31591 ,        1002 ,   0.00000000     ,   4139517.25    
       31592 ,        1002 ,   0.00000000     ,   4139517.25    
       31593 ,        1002 ,   2.86722612E-02 ,   4139517.25    
       31594 ,        1002 ,   0.00000000     ,   4139517.25    
       31945 ,        1002 ,  0.155694246     ,   4139517.25    
       31946 ,        1002 ,  0.105154179     ,   4139517.25    
       32298 ,        1002 ,   0.00000000     ,   4139517.25    
       32299 ,        1002 ,   5.92489503E-02 ,   4139517.25    
       29819 ,        1003 ,   0.00000000     ,   3911009.25    
